#Release 14.4 - par P.49d (nt64)
#Copyright (c) 1995-2012 Xilinx, Inc.  All rights reserved.

#Sun May 18 03:47:29 2014

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       my_aes_map.ncd
#OUTPUT FILE:      my_aes_pad.csv
#PART TYPE:        xc5vfx70t
#SPEED GRADE:      -1
#PACKAGE:          ff1136
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
AF25,,IOBM,IO_L15P_21,UNUSED,,21,,,,,,,,,
AF26,,IOBS,IO_L15N_21,UNUSED,,21,,,,,,,,,
AF27,,,GND,,,,,,,,,,,,
AF28,,IOBS,IO_L7N_21,UNUSED,,21,,,,,,,,,
AF29,,IOBM,IO_L17P_17,UNUSED,,17,,,,,,,,,
AF30,,IOBS,IO_L17N_17,UNUSED,,17,,,,,,,,,
AF31,,IOBM,IO_L14P_17,UNUSED,,17,,,,,,,,,
AF32,,,GND,,,,,,,,,,,,
AF33,,IOBM,IO_L8P_CC_SM1P_13,UNUSED,,13,,,,,,,,,
AF34,,IOBM,IO_L9P_CC_SM0P_13,UNUSED,,13,,,,,,,,,
AG1,,IPAD,MGTRXN1_118,UNUSED,,,,,,,,,,,
AG2,,,GND,,,,,,,,,,,,
AG3,,,MGTAVCC_118,,,,,,,,,,,,
AG4,,,MGTAVCC_118,,,,,,,,,,,,
AG5,Sl_rdDBus<79>,IOB,IO_L10P_CC_18,OUTPUT,LVCMOS25*,18,12,SLOW,,,,UNLOCATED,NO,NONE,
AG6,Sl_rdDBus<123>,IOB,IO_L12N_VRP_18,OUTPUT,LVCMOS25*,18,12,SLOW,,,,UNLOCATED,NO,NONE,
AG7,Sl_rdDBus<92>,IOB,IO_L14N_VREF_18,OUTPUT,LVCMOS25*,18,12,SLOW,,,,UNLOCATED,NO,NONE,
AG8,Sl_rdDBus<100>,IOB,IO_L18P_22,OUTPUT,LVCMOS25*,22,12,SLOW,,,,UNLOCATED,NO,NONE,
AG9,,,GND,,,,,,,,,,,,
AG10,Sl_rdDBus<102>,IOB,IO_L19P_22,OUTPUT,LVCMOS25*,22,12,SLOW,,,,UNLOCATED,NO,NONE,
AG11,Sl_rdDBus<70>,IOB,IO_L19N_22,OUTPUT,LVCMOS25*,22,12,SLOW,,,,UNLOCATED,NO,NONE,
AG12,Sl_rdDBus<24>,IOB,IO_L2N_A22_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AG13,Sl_rdDBus<22>,IOB,IO_L1N_GC_D12_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
AG14,,,VCCO_4,,,4,,,,,2.50,,,,
AG15,Sl_rdDBus<118>,IOB,IO_L5N_GC_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
AG16,Sl_rdDBus<25>,IOB,IO_L7N_GC_VRP_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
AG17,Sl_MWrErr<4>,IOB,IO_L9N_CC_GC_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
AG18,Sl_MWrErr<0>,IOB,IO_L6P_GC_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
AG19,,,GND,,,,,,,,,,,,
AG20,Sl_rdDBus<90>,IOB,IO_L4N_GC_VREF_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
AG21,Sl_rdDBus<26>,IOB,IO_L4P_GC_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
AG22,SPLB_Clk,IOB,IO_L0P_GC_D15_4,INPUT,LVCMOS25*,4,,,,NONE,,UNLOCATED,NO,NONE,
AG23,Sl_rdDBus<17>,IOB,IO_L1N_CC_A24_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AG24,,,GND,,,,,,,,,,,,
AG25,,IOBS,IO_L13N_21,UNUSED,,21,,,,,,,,,
AG26,,IOBS,IO_L14N_VREF_21,UNUSED,,21,,,,,,,,,
AG27,,IOBM,IO_L14P_21,UNUSED,,21,,,,,,,,,
AG28,,IOBM,IO_L6P_21,UNUSED,,21,,,,,,,,,
AG29,,,GND,,,,,,,,,,,,
AG30,,IOBS,IO_L19N_17,UNUSED,,17,,,,,,,,,
AG31,,IOBS,IO_L14N_VREF_17,UNUSED,,17,,,,,,,,,
AG32,,IOBM,IO_L14P_13,UNUSED,,13,,,,,,,,,
